gene,score
MIR5193,15.14686560462424
MAPK3,15.139872304165223
LOC100507530,15.136946605024255
KRTAP1-3,15.123575276705566
TIMP3,15.120563977231999
C19orf54,15.114497487335509
C8orf82,15.111504569834421
TMEM230,15.111262343208137
TTC37,15.107695884919465
LOC101927358,15.107613684477679
LINC00403,15.105183180150487
C5orf42,15.09325278767926
TMX1,15.077779092463977
UTRN,15.073074367426804
ST6GALNAC2,15.054353719562794
YWHAQ,15.054230984996265
CCM2,15.053451036223183
PUF60,15.046280805470458
FLI1,15.041771128019407
EEFSEC,15.04129988572932
APBB2,15.039741991833356
RP11-214K3.19,15.036526988115346
LOC101927143,15.02805270044733
ZNF750,15.02190788366535
MIF,15.021831619297785
ZNF836,15.01681870931083
PDE1C,15.016162064838278
KLHL5,15.004482035100885
DXO,15.001473766278185
BOLA3-AS1,14.994538573978526
ARPC1A,14.991357501919513
ADAMTS2,14.986779184468807
DHPS,14.984096920671723
GDI2,14.979172086824827
PSPH,14.97214745692421
CNN1,14.95304041542132
ARPC5,14.952721035858023
HIGD2A,14.948589370795174
VNN3,14.947413398752834
GOLGA6L6,14.946873861289447
HLA-DQB1,14.944522925431077
SLC37A2,14.943043710261591
FAM46D,14.942117832019191
PILRA,14.917401308975476
ZNF570,14.911139527894193
AP1S3,14.902732197815014
RBM15B,14.902120645868198
SHANK3,14.902010447776945
LOC100287015,14.901387053045674
LOC100507388,14.893881142053596
GOSR2,14.881651708970995
RETNLB,14.868491665068266
SLC13A1,14.864415183690271
LOC101928781,14.861350887020524
PALM3,14.861145274705699
RP11-874J12.4,14.858200727827565
NDUFV2,14.856621819649133
TBL1XR1,14.853887751201688
SELPLG,14.85170901526301
MYL7,14.843483978284322
SCAMP4,14.828984265490439
C19orf43,14.82841047728888
UFD1L,14.821700150202705
LOC101926916,14.809878579958504
SH3GL1,14.804154440709803
PTPRC,14.801654278813693
MBLAC2,14.779100371298028
DOK1,14.776996486031482
ZNF688,14.772437487740623
CENPT,14.768554623988098
SLMAP,14.761683922660554
SPOCK3,14.759329566428013
PPP1R14A,14.75670562114174
MBD3L1,14.747113888204165
TMSB10,14.741514958947533
JUND,14.726185643082584
NRGN,14.720143584472908
LOC101927112,14.708411149727993
TPTE2P6,14.705122158333511
SCN4B,14.703641065424055
LAMTOR4,14.69583533336674
EIF4B,14.689929590708418
LEPRE1,14.668029248622766
LOC101929690,14.66682664313189
ERCC8,14.661495006092723
FAM127A,14.65743893163759
RPL12,14.649751844516478
RP11-744D14.2,14.64785996842948
LYN,14.642227446035758
TSPAN4,14.642167955182655
CDK11A,14.638683770360544
HLA-B,14.637068128706892
NINJ1,14.62902873977064
CD99,14.617547004959555
SEPT7P9,14.612028431315034
NME3,14.612002846066925
TLE1,14.610052520025057
KLHL7,14.602967524755275
RP11-506N2.1,14.596589229451046
BLOC1S2,14.590666942500517
HSPB2,14.585182804444756
LHX8,14.581134903645193
KLF6,14.570967309133158
HN1L,14.558227752941438
RPS6KA3,14.556193172517307
BET1L,14.553469785508968
VPS72,14.551076356069597
MXRA8,14.544696363564045
RFTN2,14.541206418365162
EPHA3,14.532744642941129
LOC100509303,14.529358991881141
OXLD1,14.525220372790463
OSBPL8,14.521608608150508
ITGA9,14.51805646714384
DNTTIP1,14.506496761909444
LIMCH1,14.505469557548397
TUBA1C,14.504427278198278
BCKDHB,14.497720384284264
MLIP,14.492397364827722
SIX3,14.49121445982936
LINC00623,14.477002464935667
PDCL3,14.476826279210767
EBLN3,14.465308985578671
ADAMTS10,14.441540449554964
BTBD10,14.433453298286372
DYNC2H1,14.424374668161509
MAVS,14.424040617231887
BTF3P13,14.417138867394664
CLIC1,14.416782877570478
TENC1,14.415703921625951
LINC01021,14.411297493974239
ST13,14.408981274283876
C1QTNF2,14.402001461486115
RP5-892K4.1,14.40070356806118
SNAP29,14.391336287156248
MGA,14.387497289737611
RBSG3,14.381912670750664
C1orf110,14.378655137049615
TSPAN15,14.366266960306838
LINC00572,14.360836504156172
NCAPH2,14.355324628759252
ZFX,14.355132680822928
MIR4691,14.347510088893706
KDELR3,14.342586694172384
RPL18AP16,14.341876026843375
SUPT16H,14.33364484469253
TMEM160,14.33099812874002
IL32,14.327212947603453
C16orf13,14.325414001300922
LOC101928559,14.308904261476767
PCNX,14.303376731883953
CNGB3,14.302997154119643
MRPS6,14.299683945436225
EGFL8,14.296805476811052
MSMB,14.295863486326688
INTS12,14.285398138608416
VAV1,14.283328415843567
RPL30,14.27949958856755
BOP1,14.279261839114566
LOC101929177,14.276403747348862
ITIH3,14.274494169052616
LHFP,14.272977082803823
NKG7,14.269340192574806
LRRC3B,14.263908828274893
RBM3,14.259725101430307
PGGT1B,14.250535045941678
LMTK3,14.25011714423909
SGSM1,14.247853728313613
JDP2,14.234943873895444
CKAP2,14.231569689317118
SYTL1,14.226118268893122
C1orf106,14.219035843827983
CCDC109B,14.212581760800907
NPSA,14.207292493477798
FSBP,14.191591218190656
TEX264,14.18753537626522
JAG2,14.180420812052306
RPL4,14.177810005381845
TFEB,14.176651869225005
CTC-471C19.1,14.171622668103591
LOC100996579,14.16732216923188
YWHAH,14.167291717040417
RP11-15P13.1,14.152978979022755
IFRD2,14.15169919560157
LINC01364,14.149427832378022
KLRC3,14.144557862590265
NOL12,14.13926467679658
RANGRF,14.138622150009397
ICAM2,14.132701190299644
CD46,14.132455812261922
TGIF2LY,14.129385260127822
PEBP1,14.127295962218263
CDK5RAP2,14.115563495456033
SLC35D1,14.103395431843067
GBF1,14.10287365869223
FCGR2C,14.100342322814901
TSPAN33,14.092911000248623
TMEM258,14.081332176413294
CORO1A,14.080395539367714
CTD-2310F14.1,14.073416492721224
ARID5A,14.073011385797619
BC044765,14.07257870847255
MEOX2,14.05961363194562
FIP1L1,14.04883915922809
MCOLN2,14.048648312962335
LOC101927043,14.044809296879585
IFNL1,14.043481590538098
MED28,14.041694923926675
PPP1R18,14.033481613587886
AEBP1,14.031963226957858
ATP8B4,14.028998433236158
ATXN7L3,14.023245246490294
NR1I3,14.019593223343948
