Model,Test Accuracy,CV Accuracy,Std Dev
Logistic Regression,0.8461538461538461,0.8095238095238096,0.17817416127494962
Random Forest,0.9230769230769231,0.8448773448773448,0.07748662465127767
SVM (RBF kernel),1.0,0.8131313131313131,0.06494308111495292
