Model,With_Clinical_Test_Acc,With_Clinical_CV_Acc,Without_Clinical_Test_Acc,Without_Clinical_CV_Acc
Logistic Regression,0.8461538461538461,0.8095238095238096,0.8461538461538461,0.8095238095238096
Random Forest,0.8461538461538461,0.86002886002886,0.9230769230769231,0.8607503607503606
SVM (RBF kernel),1.0,0.8441558441558442,1.0,0.8131313131313131
